clusters s_obs df nc mu std redshift d_ref kt_scale
A2029 0.2697062460383373 339.97817804680085 0.06087139515651931 -0.0034014828840036064 0.05435925740506619 0.078000002 353.69375616191246 0.8967904548378033
A0478 0.24160245268553304 23.723770107261636 0.2340453894798166 -0.01175571060850462 0.06604694581446068 0.088 401.7898248707874 0.8606934210806869
PKS0745 0.37225483468598464 339.97260543050004 0.3429185523997359 -0.036197398923190585 0.07470922621598847 0.103 475.0616629413163 0.9326003020108651
A2204 -0.05970814753231592 4.659014007306532 0.9483740813355502 -0.03923595267742777 0.03730616486498557 0.152 723.5845118034334 0.8499260720688757
M2129 0.17372201987440253 3.195585997116604 1.3257136358933381 -0.09238630688923818 0.06515751506251646 0.235 1174.8027870661804 0.9877716649839489
A1835 0.10407718253802807 3.8893372099565604 0.3739324856532939 -0.02254207991350598 0.059262063847985935 0.252 1271.6432246711236 0.9340233365976645
M2140 0.07652400120364389 2.0611785554349686 0.41486493261918694 -0.023568539107443602 0.052374573079238394 0.31299999 1630.7205185581133 0.7892516312487842
M1931 -0.042091591784564265 4.15011414428196 0.6388760345349248 -0.042179961829777415 0.06204016890699515 0.352 1869.3495458701875 0.8545187631985314
M1115 0.238739539174766 5.299734759467605 0.543657362467623 -0.04107934140746494 0.08283401102388682 0.35499999 1887.9858159780174 0.932222220220598
M1532 0.29817569628864465 4.3846120965123205 0.5345198861739066 -0.03460736007200782 0.07680869505769042 0.36300001 1937.8745246639812 0.928496746458922
M1720 0.16743919511400085 6.352091900631952 0.3954020544795493 -0.0522213207570137 0.13606142842482888 0.391 2114.6450531895516 0.8896075747722327
M0429 -0.02619120466877276 6.0660696398555505 0.5484142853774064 -0.06452697030403093 0.12149572482553175 0.39899999 2165.75696262903 0.9638683286144264
M1347 0.15995971750660193 13.939880076429272 0.285079441918303 -0.01158380005372851 0.049224507637960685 0.45100001 2504.3150678843963 0.7631618273313902
M1423 0.13575575439657833 2.511747841279664 0.7561750672544485 -0.04469811079823298 0.05564965981890392 0.54299998 3128.5473976586013 0.7187961097699559
