clusters s_obs df nc mu std redshift d_ref kt_scale
A2029 0.23395695515726647 339.96969188490175 0.06616263479796017 -0.004447447060926816 0.05369804346441508 0.078000002 353.69375616191246 0.8967904548378033
A0478 0.20585308908733416 339.9677300959767 0.15583229112323133 -0.005993106836419702 0.06599045881109597 0.088 401.7898248707874 0.8606934210806869
PKS0745 0.3365055217815416 16.79428117457301 -3.8729871269617533 0.22761622082219968 0.05923606466843334 0.103 475.0616629413163 0.9326003020108651
A2204 -0.0954574906540353 4.162643626728423 1.05631824365792 -0.041019585895911426 0.03699880262442781 0.152 723.5845118034334 0.8499260720688757
M2129 0.13797269044427454 3.9406191805440303 0.824600437697138 -0.06166626276133451 0.075578987069924 0.235 1174.8027870661804 0.9877716649839489
A1835 0.06832786375164757 4.085627830860457 0.3377373904027432 -0.020805592774094942 0.058726853399541826 0.252 1271.6432246711236 0.9340233365976645
M2140 0.04077469740176408 2.0609861668126666 0.2556688801840838 -0.01568437246026323 0.0532992327086082 0.31299999 1630.7205185581133 0.7892516312487842
M1931 -0.07784091090803281 3.819961983632313 0.573981234239659 -0.03568131032022755 0.06581754797457146 0.352 1869.3495458701875 0.8545187631985314
M1115 0.2029902305322574 4.484328415003851 0.7484325510501272 -0.05796515922808439 0.07572880436138119 0.35499999 1887.9858159780174 0.932222220220598
M1532 0.26242641638217457 4.04245236078791 0.44953635537942555 -0.025199309223284998 0.07203314424861632 0.36300001 1937.8745246639812 0.928496746458922
M1720 0.13168988559076972 9.036739173082566 0.3645667158145911 -0.03949959286238942 0.15061549693715665 0.391 2114.6450531895516 0.8896075747722327
M0429 -0.061940533498560074 4.9427441737149955 0.4505366524421171 -0.05648707942149145 0.1238774851707656 0.39899999 2165.75696262903 0.9638683286144264
M1347 0.12421033623664107 13.22276653143344 0.3186549496716175 -0.014708392875676188 0.047795614730184094 0.45100001 2504.3150678843963 0.7631618273313902
M1423 0.10000640796961464 3.3878453881020336 1.1532811478450309 -0.06909371678043572 0.05860646544243045 0.54299998 3128.5473976586013 0.7187961097699559
